transaction_amount,avg_amount_30d,amount_to_avg_ratio,account_age_days,previous_chargebacks,tx_last_1h,tx_last_24h,transaction_hour,is_night_transaction,is_international,is_high_risk_merchant,merchant_category,country,device_type,TX_FRAUD
4.28,51.49,0.0832,206,1,2,9,18,0,1,0,food_delivery,DE,desktop,0
12.18,43.13,0.2824,127,0,1,6,9,0,1,0,fuel,FR,mobile,0
65.37,48.84,1.3383,766,1,0,7,11,0,0,0,digital,US,desktop,0
19.69,32.42,0.6072,771,0,1,7,10,0,0,0,travel,US,mobile,0
39.94,79.88,0.5,248,0,1,3,22,1,0,0,grocery,US,pos,0
69.17,136.28,0.5075,273,1,2,3,23,1,0,0,casino,US,mobile,0
115.69,94.84,1.2199,3942,0,0,5,3,1,1,0,food_delivery,UK,desktop,0
199.94,108.32,1.8458,455,0,1,3,12,0,0,0,food_delivery,US,desktop,0
124.01,78.87,1.5724,1058,0,0,5,7,0,1,0,grocery,BR,mobile,0
55.69,39.36,1.4148,405,0,0,2,10,0,0,0,fuel,US,pos,0
28.0,32.95,0.85,2756,0,2,7,10,0,1,0,restaurant,BR,mobile,0
390.52,42.12,9.2725,203,0,1,8,16,0,1,0,financial,CA,mobile,0
124.83,83.85,1.4887,377,0,2,3,8,0,0,0,electronics,US,desktop,0
28.86,114.63,0.2518,705,0,0,6,9,0,1,1,digital,CA,desktop,0
335.47,38.76,8.6546,179,0,0,10,17,0,1,0,fuel,DE,desktop,0
43.59,72.12,0.6043,288,1,3,8,16,0,1,0,restaurant,CA,desktop,0
126.76,108.69,1.1662,35,0,1,2,19,0,0,0,fashion,US,desktop,0
92.38,132.37,0.6979,920,0,1,5,10,0,1,0,grocery,AU,mobile,0
39.03,120.12,0.3249,127,0,1,5,8,0,1,0,digital,IN,mobile,0
6.15,61.48,0.1,412,0,1,10,8,0,0,0,electronics,US,mobile,0
31.26,228.21,0.137,133,0,3,6,23,1,1,0,food_delivery,AE,mobile,0
264.55,189.02,1.3996,657,0,0,6,19,0,1,0,restaurant,SG,pos,0
60.99,54.91,1.1106,135,0,1,5,19,0,0,0,casino,US,pos,0
252.1,104.2,2.4194,1661,0,0,5,20,0,1,0,financial,IN,mobile,0
39.94,70.8,0.5642,440,0,0,10,8,0,1,0,food_delivery,AE,desktop,0
85.02,65.15,1.3051,317,0,1,11,19,0,1,0,grocery,IN,mobile,0
106.1,26.02,4.0784,115,0,2,7,20,0,1,1,fuel,IN,desktop,0
91.37,321.99,0.2838,102,0,0,3,21,0,0,0,grocery,US,mobile,0
62.92,41.91,1.5011,345,0,1,17,8,0,1,0,grocery,IN,mobile,0
50.84,44.84,1.1338,325,0,0,3,10,0,1,1,travel,IN,mobile,0
8.65,55.15,0.1568,204,0,1,6,11,0,1,0,food_delivery,DE,mobile,0
163.05,136.67,1.193,231,0,3,7,18,0,1,1,casino,IN,mobile,0
473.51,60.9,7.7749,524,0,0,5,9,0,1,0,restaurant,UK,mobile,0
79.82,21.81,3.6598,703,0,0,13,5,1,0,0,restaurant,US,mobile,0
80.16,41.25,1.9432,1152,0,0,7,7,0,1,0,fuel,FR,mobile,0
70.42,144.09,0.4887,202,0,1,11,15,0,0,0,grocery,US,mobile,0
6.08,63.52,0.0957,56,1,0,7,15,0,1,0,grocery,UK,mobile,0
40.97,50.01,0.8192,111,1,6,8,13,0,1,0,fuel,BR,mobile,0
64.56,111.42,0.5794,489,1,1,7,18,0,1,0,restaurant,FR,mobile,0
122.94,118.54,1.0372,707,0,1,6,9,0,0,0,electronics,US,pos,0
22.47,79.87,0.2813,373,0,0,7,15,0,1,0,fuel,AU,tablet,0
48.13,83.26,0.578,92,0,2,6,10,0,0,0,digital,US,mobile,0
15.0,217.51,0.0689,952,0,2,8,12,0,0,1,travel,US,mobile,0
186.6,48.97,3.8103,1569,0,0,3,22,1,1,0,restaurant,BR,desktop,0
64.76,27.38,2.3649,163,0,0,2,13,0,0,0,digital,US,mobile,0
249.76,48.08,5.1947,774,1,0,7,9,0,1,0,food_delivery,IN,desktop,0
23.92,55.48,0.4311,101,0,3,5,7,0,1,0,restaurant,SG,mobile,0
87.63,99.04,0.8848,1321,0,1,6,19,0,0,0,restaurant,US,mobile,0
52.55,51.23,1.0257,492,0,1,5,21,0,1,0,travel,FR,mobile,0
70.15,25.31,2.7715,111,1,2,6,13,0,1,0,grocery,UK,mobile,0
