transaction_amount,avg_amount_30d,amount_to_avg_ratio,account_age_days,previous_chargebacks,tx_last_1h,tx_last_24h,transaction_hour,is_night_transaction,is_international,is_high_risk_merchant,merchant_category,country,device_type,TX_FRAUD
240.14,27.18,8.8345,281,1,1,5,1,1,0,1,travel,US,mobile,1
204.63,28.97,7.0635,696,0,2,8,23,1,1,0,restaurant,IN,mobile,1
293.21,50.87,5.7639,543,0,2,9,2,1,1,0,restaurant,UK,mobile,1
232.78,63.42,3.6707,52,1,3,8,5,1,1,0,digital,UK,pos,1
580.2,49.59,11.6995,96,0,1,10,5,1,0,0,casino,US,mobile,1
527.19,45.57,11.5694,146,0,1,5,22,1,1,1,travel,CA,mobile,1
83.47,14.97,5.5747,579,1,3,12,14,0,0,0,food_delivery,US,mobile,1
673.81,44.75,15.0588,88,1,3,5,8,0,1,0,travel,IN,mobile,1
176.27,44.7,3.9434,119,0,1,5,22,1,0,1,fashion,US,mobile,0
56.43,47.82,1.18,288,0,0,8,11,0,1,0,grocery,IN,mobile,0
64.45,116.41,0.5537,24,0,2,4,10,0,1,0,restaurant,DE,mobile,0
16.02,68.23,0.2348,137,0,2,9,13,0,1,0,food_delivery,AE,tablet,0
211.65,102.87,2.0575,55,0,0,9,4,1,1,0,restaurant,AU,mobile,0
23.66,147.13,0.1608,1003,0,0,5,12,0,0,0,grocery,US,mobile,0
37.33,63.79,0.5853,247,0,0,9,9,0,1,0,digital,IN,mobile,0
12.09,37.78,0.3199,933,0,1,6,17,0,0,0,food_delivery,US,mobile,0
71.2,43.92,1.6211,407,0,0,3,13,0,1,0,grocery,IN,tablet,0
53.28,76.28,0.6985,213,0,2,10,8,0,1,0,financial,AU,desktop,0
47.38,169.95,0.2788,379,0,0,3,8,0,1,1,electronics,SG,tablet,0
112.77,71.29,1.5818,84,0,1,10,8,0,1,0,grocery,IN,mobile,0
11.31,101.43,0.1116,205,0,0,7,20,0,1,0,grocery,AE,pos,0
63.52,97.17,0.6537,377,0,1,5,19,0,0,0,fuel,US,mobile,0
33.94,63.03,0.5385,43,0,1,4,6,0,0,0,grocery,US,pos,0
18.52,141.63,0.1308,547,0,1,9,8,0,0,0,fuel,US,tablet,0
56.33,135.3,0.4164,674,0,1,5,5,1,0,0,electronics,US,tablet,0
87.21,49.63,1.7574,391,0,0,7,16,0,1,0,financial,AE,desktop,0
4.83,133.48,0.0362,142,1,2,5,7,0,0,0,restaurant,US,mobile,0
117.59,86.01,1.3672,1022,2,0,6,11,0,0,1,casino,US,mobile,0
8.15,105.43,0.0773,271,0,1,7,13,0,1,1,grocery,IN,desktop,0
36.35,55.43,0.6557,115,0,0,6,17,0,1,0,financial,AU,mobile,0
158.6,97.13,1.6328,115,1,1,4,22,1,1,0,restaurant,IN,mobile,0
16.89,69.99,0.2413,44,0,0,8,22,1,1,0,grocery,CA,mobile,0
88.65,48.98,1.8098,663,0,0,6,9,0,1,0,grocery,FR,mobile,0
79.58,71.55,1.1123,800,0,1,7,12,0,1,0,food_delivery,AE,mobile,0
31.47,198.03,0.1589,1008,2,1,8,0,1,0,0,financial,US,pos,0
16.13,117.12,0.1378,148,0,1,6,10,0,1,0,restaurant,IN,desktop,0
29.43,61.62,0.4776,1382,0,0,6,16,0,0,0,restaurant,US,mobile,0
57.14,108.77,0.5253,284,0,2,0,19,0,0,0,grocery,US,desktop,0
106.73,27.61,3.8653,254,0,3,6,0,1,1,0,restaurant,BR,desktop,0
51.0,83.1,0.6137,331,0,2,12,20,0,0,0,restaurant,US,desktop,0
